Dependency,Ecosystem - Type,Repos,Vulns (H/M/L),License,Sponsor,Parent
"data-view-byte-length@1.0.2","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2"
"data-view-byte-offset@1.0.1","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2"
"es-to-primitive@1.3.4","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2"
"function.prototype.name@1.2.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2, which-builtin-type@1.2.1"
"get-proto@1.0.1","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2, get-intrinsic@1.3.0, iterator.prototype@1.1.5, regexp.prototype.flags@1.5.4, which-typed-array@1.1.22, reflect.getprototypeof@1.0.10, is-async-function@2.1.1, is-generator-function@1.1.2"
"get-symbol-description@1.1.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2"
"is-array-buffer@3.0.5","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2, array-buffer-byte-length@1.0.2, arraybuffer.prototype.slice@1.0.4"
"is-callable@1.2.7","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2, es-to-primitive@1.3.4, function.prototype.name@1.2.0, es-abstract-get@1.0.0, for-each@0.3.5"
"is-data-view@1.0.2","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2, data-view-buffer@1.0.2, data-view-byte-length@1.0.2, data-view-byte-offset@1.0.1"
"is-negative-zero@2.0.3","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2"
"is-regex@1.2.1","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2, safe-regex-test@1.1.0, which-builtin-type@1.2.1"
"is-set@2.0.3","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2, which-collection@1.0.2"
"is-shared-array-buffer@1.0.4","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2"
"is-typed-array@1.1.15","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2, is-data-view@1.0.2, typed-array-buffer@1.0.3, typed-array-byte-length@1.0.3, typed-array-byte-offset@1.0.4, typed-array-length@1.0.8"
"is-weakref@1.1.1","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2, which-builtin-type@1.2.1"
"object-inspect@1.13.4","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2, side-channel@1.1.1, side-channel-list@1.0.1, side-channel-map@1.0.1, side-channel-weakmap@1.0.2, es-abstract-get@1.0.0"
"own-keys@1.0.2","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2"
"safe-array-concat@1.1.4","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2"
"safe-push-apply@1.0.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2, own-keys@1.0.2"
"safe-regex-test@1.1.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2, string.prototype.trim@1.2.11, is-symbol@1.1.1, is-async-function@2.1.1, is-generator-function@1.1.2"
"set-proto@1.0.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2"
"stop-iteration-iterator@1.1.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2"
"string.prototype.trim@1.2.11","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2"
"string.prototype.trimend@1.0.10","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2"
"string.prototype.trimstart@1.0.8","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2"
"typed-array-buffer@1.0.3","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2"
"typed-array-byte-length@1.0.3","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2"
"typed-array-byte-offset@1.0.4","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2"
"typed-array-length@1.0.8","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2"
"unbox-primitive@1.1.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2"
"which-typed-array@1.1.22","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2, is-typed-array@1.1.15, which-builtin-type@1.2.1"
"has-tostringtag@1.0.2","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"is-string@1.1.1, es-set-tostringtag@2.1.0, is-regex@1.2.1, which-typed-array@1.1.22, is-date-object@1.1.0, which-builtin-type@1.2.1, is-boolean-object@1.2.2, is-number-object@1.1.1, is-async-function@2.1.1, is-generator-function@1.1.2"
"dunder-proto@1.0.1","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"has-proto@1.2.0, get-proto@1.0.1, set-proto@1.0.0"
"functions-have-names@1.2.3","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"set-function-name@2.0.2, function.prototype.name@1.2.0"
"side-channel-list@1.0.1","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"side-channel@1.1.1"
"side-channel-map@1.0.1","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"side-channel@1.1.1, side-channel-weakmap@1.0.2"
"side-channel-weakmap@1.0.2","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"side-channel@1.1.1"
"agent-base@7.1.4","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"https-proxy-agent@7.0.6, agent@3.0.0, http-proxy-agent@7.0.2, socks-proxy-agent@8.0.5"
"stackframe@1.3.4","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"error-stack-parser@2.1.4"
"queue@6.0.2","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Unknown
"metro-minify-terser@0.84.4","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"metro-transform-worker@0.84.4"
"tr46@0.0.3","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"whatwg-url@5.0.0"
"webidl-conversions@3.0.1","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","BSD-2-Clause",No,"whatwg-url@5.0.0"
"ieee754@1.2.1","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","BSD-3-Clause",No,"buffer@5.7.1"
"string_decoder@1.3.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"readable-stream@3.6.2"
"util-deprecate@1.0.2","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"readable-stream@3.6.2"
"fill-range@7.1.1","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"braces@3.0.3"
"wrappy@1.0.2","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","ISC",No,"once@1.4.0, inflight@1.0.6"
"forwarded@0.2.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"proxy-addr@2.0.7"
"ipaddr.js@1.9.1","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"proxy-addr@2.0.7"
"is-promise@4.0.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"router@2.2.0"
